Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20
Andaman & Nicobar,India,11.74,92.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,14,15,16,16,18,22,22,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,38,38,38,38,41,44,44,44,45,47,48,48,50,56,59,72,72,76,90,97,100,109,116,119
Andhra Pradesh,India,15.91,79.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,5,7,8,9,11,12,14,14,23,40,83,86,132,161,190,226,266,305,348,363,381,381,427,473,503,534,572,603,603,722,757,757,813,955,955,1097,1097,1259,1259,1403,1463,1525,1583,1650,1717,1717,1777,1847,1887,1930,1980,2018,2090,2137,2205,2307,2355,2407,2474,2532,2602,2647,2709,2757,2823,3110,3171,3171,3251,3436,3569,3679,3783,3898,4080,4223,4303,4510,4708,4851,5070,5269,5429,5680,5965,6163,6456,6841,7071,7518,7961,8452,8999,9372,10002,10331,10884,11489,12285,13241,13891,14595,15252,16097,16934,17699
Arunachal Pradesh,India,28.21,94.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,22,22,38,42,45,47,51,51,57,57,61,67,87,91,91,95,99,103,103,135,135,139,148,158,160,172,177,182,187,191,195,195,252,259
Assam,India,26.2006,92.9376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,16,24,24,26,26,27,28,29,29,29,29,31,33,33,35,35,35,35,35,35,35,36,36,36,36,38,38,42,42,43,43,43,43,43,45,54,59,63,63,65,65,80,87,90,92,101,107,142,170,203,259,329,378,526,616,781,856,1024,1185,1272,1390,1513,1672,1988,2153,2397,2565,2776,2937,3092,3319,3498,3718,4049,4158,4319,4605,4777,4904,4904,5388,5586,5831,6198,6321,6607,6816,7206,7752,8227,8582,9013,9673,10668
Bihar,India,25.0961,85.3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,6,9,9,15,15,23,24,29,30,30,32,32,38,39,60,60,64,64,66,70,74,83,85,86,96,114,126,143,176,176,251,274,346,366,403,426,471,482,517,529,536,542,550,571,591,696,747,831,940,994,1018,1179,1262,1391,1498,1674,1982,2177,2380,2587,2730,2983,3061,3296,3376,3636,3815,3926,4155,4390,4493,4596,4915,5088,5202,5459,5710,5983,6103,6290,6470,6650,6778,6942,7025,7181,7533,7612,7825,8153,8209,8473,8716,8931,9212,9640,10043,10249,10471,10954,11700
Chandigarh,India,30.73,76.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,7,7,7,8,8,8,13,16,16,18,18,18,18,18,18,18,18,18,19,21,21,21,21,21,21,23,26,26,27,27,27,27,30,30,40,56,56,56,88,94,94,102,111,120,135,150,169,169,174,187,187,191,191,191,191,196,200,202,217,218,225,238,238,266,279,288,289,289,293,294,301,301,301,304,309,314,317,323,327,332,334,345,352,354,358,368,374,381,404,406,411,418,420,423,425,428,429,435,440,446,450,457,460
Chattisgarh,India,21.27,81.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,6,6,6,7,8,9,9,9,9,9,10,10,10,10,10,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,37,37,37,38,38,40,43,43,57,58,59,59,59,59,59,59,59,59,59,60,66,67,86,93,101,115,128,172,214,252,291,361,369,399,415,447,498,547,564,668,756,879,923,1073,1160,1240,1262,1398,1429,1512,1662,1756,1781,1864,1946,2028,2041,2275,2303,2362,2419,2452,2545,2545,2662,2761,2860,2940,3013,3065,3161
Dadar Nagar Haveli,India,20.18,73.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,8,12,14,19,20,22,22,28,30,30,35,36,36,45,57,58,62,68,88,91,120,120,155,163,177,178,203,213,215,230,257,271
Delhi,India,28.7,77.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,5,6,6,7,7,7,8,10,12,17,26,29,30,29,31,36,36,39,39,97,97,152,219,219,445,503,523,523,576,669,898,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2376,2625,2918,3108,3314,3439,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,10054,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17444,18739,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,53116,56746,59746,62655,66602,70390,73780,77240,80188,83077,85161,87360,89802,92175,94695,97200
Goa,India,15.2993,74.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,15,17,29,38,46,50,52,54,55,66,67,67,68,69,69,70,70,71,79,79,166,196,267,300,330,359,387,417,463,523,564,592,629,656,705,725,754,754,864,909,951,995,1039,1128,1198,1198,1315,1387,1482,1482,1684
Gujarat,India,22.25,71.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18,29,32,37,42,42,44,52,69,73,82,87,95,105,122,144,144,165,179,241,308,432,516,617,695,871,1021,1272,1604,1851,2066,2178,2407,2624,2624,3071,3301,3548,3744,4082,4395,4721,5055,5428,5804,6245,6625,7012,7402,7796,8194,8541,8903,9267,9591,9931,10988,11379,11745,12140,12537,12905,13268,13664,14056,14460,14821,15195,15562,15934,16343,16779,17200,17617,18100,18584,19094,19592,20070,20545,21014,21521,22032,22527,23038,23544,24055,24577,25093,25601,26141,26680,27260,27825,28371,28943,29520,30095,30709,31320,31938,32557,33232,33913,34600,35312
Haryana,India,29.058,76.0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,15,17,17,17,17,21,26,28,28,30,30,33,33,36,40,43,43,49,49,59,84,90,147,169,169,177,185,185,199,199,205,205,225,233,233,254,254,262,272,272,289,289,296,310,310,313,360,394,442,517,548,594,625,647,675,703,730,780,793,818,818,887,910,928,964,993,1031,1067,1131,1184,1184,1305,1381,1504,1721,1923,2091,2356,2652,2954,3281,3597,3952,4448,4854,5209,5579,5968,6334,6749,7208,7722,8272,8832,9218,9743,10223,10635,11025,11520,12010,12463,12884,13427,13829,14210,14548,14941,15509,16003,16548
